week,state,value
2021-05-22,Texas,0.8459016393442623
2021-05-22,Utah,0.5882352941176471
2021-05-22,Vermont,No Data
2021-05-22,Virginia,0.8505747126436781
2021-05-22,Washington,0.6538461538461539
2021-05-22,West Virginia,1.3888888888888888
2021-05-22,Wisconsin,0.6779661016949152
2021-05-22,Wyoming,No Data
2021-05-29,Alabama,0.6470588235294118
2021-05-29,Alaska,No Data
2021-05-29,Arizona,0.6486486486486487
2021-05-29,Arkansas,0.4838709677419355
2021-05-29,California,0.36923076923076925
2021-05-29,Colorado,1.0677966101694916
2021-05-29,Connecticut,0.4444444444444444
2021-05-29,Delaware,No Data
2021-05-29,Maryland,0.9264705882352942
2021-05-29,Florida,1.075221238938053
2021-05-29,Georgia,0.7363636363636363
2021-05-29,Hawaii,No Data
2021-05-29,Idaho,0.85
2021-05-29,Illinois,1.016
2021-05-29,Indiana,1.1159420289855073
2021-05-29,Iowa,0.6875
2021-05-29,Kansas,0.4482758620689655
2021-05-29,Kentucky,1.4222222222222223
2021-05-29,Louisiana,1.0217391304347827
2021-05-29,Maine,No Data
2021-05-29,Massachusetts,0.45714285714285713
2021-05-29,Michigan,1.92
2021-05-29,Minnesota,0.6666666666666666
2021-05-29,Mississippi,1.6551724137931034
2021-05-29,Missouri,0.532258064516129
2021-05-29,Montana,No Data
2021-05-29,Nebraska,No Data
2021-05-29,Nevada,0.5
2021-05-29,New Hampshire,No Data
2021-05-29,New Jersey,0.967741935483871
2021-05-29,New Mexico,1.1904761904761905
2021-05-29,New York,0.7959183673469388
2021-05-29,North Carolina,0.9907407407407407
2021-05-29,North Dakota,No Data
2021-05-29,Ohio,0.9745762711864406
2021-05-29,Oklahoma,0.7317073170731707
2021-05-29,Oregon,0.8571428571428571
2021-05-29,Pennsylvania,1.1384615384615384
2021-05-29,Puerto Rico,0.046
2021-05-29,Rhode Island,No Data
2021-05-29,South Carolina,0.5925925925925926
2021-05-29,South Dakota,No Data
2021-05-29,Tennessee,1.0985915492957747
2021-05-29,Texas,0.8721311475409836
2021-05-29,Utah,0.47058823529411764
2021-05-29,Vermont,0.0
2021-05-29,Virginia,0.6436781609195402
2021-05-29,Washington,0.8717948717948718
2021-05-29,West Virginia,1.4444444444444444
2021-05-29,Wisconsin,0.4745762711864407
2021-05-29,Wyoming,No Data
2021-06-05,Alabama,0.7058823529411765
2021-06-05,Alaska,No Data
2021-06-05,Arizona,0.5540540540540541
2021-06-05,Arkansas,0.6774193548387096
2021-06-05,California,0.2948717948717949
2021-06-05,Colorado,1.1694915254237288
2021-06-05,Connecticut,0.2777777777777778
2021-06-05,Delaware,No Data
2021-06-05,Maryland,0.5441176470588235
2021-06-05,Florida,1.176991150442478
2021-06-05,Georgia,0.6363636363636364
2021-06-05,Hawaii,No Data
2021-06-05,Idaho,0.6
2021-06-05,Illinois,0.96
2021-06-05,Indiana,1.0579710144927537
2021-06-05,Iowa,0.46875
2021-06-05,Kansas,0.4827586206896552
2021-06-05,Kentucky,0.9555555555555556
2021-06-05,Louisiana,0.8260869565217391
2021-06-05,Maine,0.7142857142857143
2021-06-05,Massachusetts,0.38571428571428573
2021-06-05,Michigan,1.55
2021-06-05,Minnesota,0.543859649122807
2021-06-05,Mississippi,1.0344827586206897
2021-06-05,Missouri,0.6774193548387096
2021-06-05,Montana,No Data
2021-06-05,Nebraska,No Data
2021-06-05,Nevada,0.78125
2021-06-05,New Hampshire,No Data
2021-06-05,New Jersey,0.5483870967741935
2021-06-05,New Mexico,0.5238095238095238
2021-06-05,New York,0.6479591836734694
2021-06-05,North Carolina,0.7037037037037037
2021-06-05,North Dakota,No Data
2021-06-05,Ohio,0.8389830508474576
2021-06-05,Oklahoma,0.5121951219512195
2021-06-05,Oregon,0.9047619047619048
2021-06-05,Pennsylvania,0.9076923076923077
2021-06-05,Puerto Rico,0.036
2021-06-05,Rhode Island,No Data
2021-06-05,South Carolina,0.5740740740740741
2021-06-05,South Dakota,No Data
2021-06-05,Tennessee,0.971830985915493
2021-06-05,Texas,0.6459016393442623
2021-06-05,Utah,0.29411764705882354
2021-06-05,Vermont,No Data
2021-06-05,Virginia,0.5402298850574713
2021-06-05,Washington,0.6410256410256411
2021-06-05,West Virginia,1.3888888888888888
2021-06-05,Wisconsin,0.5084745762711864
2021-06-05,Wyoming,No Data
2021-06-12,Alabama,0.6666666666666666
2021-06-12,Alaska,No Data
2021-06-12,Arizona,0.47297297297297297
2021-06-12,Arkansas,0.6774193548387096
2021-06-12,California,0.2743589743589744
2021-06-12,Colorado,0.8135593220338984
2021-06-12,Connecticut,0.2777777777777778
2021-06-12,Delaware,No Data
2021-06-12,Maryland,0.45588235294117646
2021-06-12,Florida,0.8672566371681416
2021-06-12,Georgia,0.6272727272727273
2021-06-12,Hawaii,No Data
2021-06-12,Idaho,0.75
2021-06-12,Illinois,0.824
2021-06-12,Indiana,0.8115942028985508
2021-06-12,Iowa,No Data
2021-06-12,Kansas,0.4827586206896552
2021-06-12,Kentucky,0.9111111111111111
2021-06-12,Louisiana,0.6521739130434783
2021-06-12,Maine,0.8571428571428571
2021-06-12,Massachusetts,0.32857142857142857
2021-06-12,Michigan,1.1
2021-06-12,Minnesota,0.6140350877192983
2021-06-12,Mississippi,0.7931034482758621
2021-06-12,Missouri,1.032258064516129
2021-06-12,Montana,1.3636363636363635
2021-06-12,Nebraska,No Data
2021-06-12,Nevada,0.84375
2021-06-12,New Hampshire,No Data
2021-06-12,New Jersey,0.27956989247311825
2021-06-12,New Mexico,0.47619047619047616
2021-06-12,New York,0.5102040816326531
2021-06-12,North Carolina,0.6388888888888888
2021-06-12,North Dakota,No Data
2021-06-12,Ohio,0.8220338983050848
2021-06-12,Oklahoma,0.8048780487804879
2021-06-12,Oregon,0.7380952380952381
2021-06-12,Pennsylvania,0.7769230769230769
2021-06-12,Puerto Rico,No Data
2021-06-12,Rhode Island,No Data
2021-06-12,South Carolina,0.5185185185185185
2021-06-12,South Dakota,No Data
2021-06-12,Tennessee,0.8169014084507042
2021-06-12,Texas,0.5737704918032787
2021-06-12,Utah,0.38235294117647056
2021-06-12,Vermont,0.0
2021-06-12,Virginia,0.4827586206896552
2021-06-12,Washington,0.7435897435897436
2021-06-12,West Virginia,0.8333333333333334
2021-06-12,Wisconsin,0.3389830508474576
2021-06-12,Wyoming,No Data
2021-06-19,Alabama,0.47058823529411764
2021-06-19,Alaska,No Data
2021-06-19,Arizona,0.5945945945945946
2021-06-19,Arkansas,1.032258064516129
2021-06-19,California,0.28717948717948716
2021-06-19,Colorado,0.711864406779661
2021-06-19,Connecticut,No Data
2021-06-19,Delaware,No Data
2021-06-19,Maryland,0.38235294117647056
2021-06-19,Florida,0.8097345132743363
2021-06-19,Georgia,0.39090909090909093
2021-06-19,Hawaii,No Data
2021-06-19,Idaho,0.6
2021-06-19,Illinois,0.576
2021-06-19,Indiana,0.7101449275362319
2021-06-19,Iowa,0.40625
2021-06-19,Kansas,No Data
2021-06-19,Kentucky,0.7333333333333333
2021-06-19,Louisiana,0.5217391304347826
2021-06-19,Maine,No Data
2021-06-19,Massachusetts,0.2571428571428571
2021-06-19,Michigan,0.81
2021-06-19,Minnesota,0.47368421052631576
2021-06-19,Mississippi,0.8620689655172413
2021-06-19,Missouri,0.9193548387096774
2021-06-19,Montana,No Data
2021-06-19,Nebraska,No Data
2021-06-19,Nevada,0.90625
2021-06-19,New Hampshire,No Data
2021-06-19,New Jersey,0.5268817204301075
2021-06-19,New Mexico,1.0
2021-06-19,New York,0.45408163265306123
2021-06-19,North Carolina,0.48148148148148145
2021-06-19,North Dakota,No Data
2021-06-19,Ohio,0.5932203389830508
2021-06-19,Oklahoma,0.6097560975609756
